contextID,slug,alignment,type,subtype,armor_class,hit_points,strength,dexterity,constitution,intelligence,wisdom,charisma,cr
dnd5e,a-mi-kuk,chaotic evil,Aberration,,14,115,21,8,20,7,14,10,7
dnd5e,aalpamac,unaligned,Monstrosity,,16,136,21,10,19,2,16,10,7
dnd5e,aatxe,lawful good,Celestial,shapechanger,14,105,22,12,20,10,14,14,5
dnd5e,abaasy,neutral evil,Giant,,18,126,20,10,20,9,14,8,8
dnd5e,abbanith-giant,neutral,Giant,,13,76,20,9,17,10,13,11,3
dnd5e,aboleth,lawful evil,Aberration,,17,135,21,9,15,18,15,18,10
dnd5e,aboleth-a5e,,Aberration,,17,171,20,12,18,20,20,18,11
dnd5e,aboleth-nihilith,chaotic evil,Undead,,17,135,21,9,15,18,15,18,12
dnd5e,aboleth-thrall-a5e,,Humanoid,,12,45,14,14,14,10,10,12,2
dnd5e,aboleth_bf,,Aberration,,17,165,20,8,22,26,22,18,10
dnd5e,abominable-beauty,neutral evil,Fey,,18,187,17,18,18,17,16,26,11
dnd5e,abominable-snowman-a5e,,Monstrosity,,12,136,18,12,16,8,12,16,4
dnd5e,abominablebeauty-tob1-2023,Neutral Evil,Fey,,18,187,17,18,18,17,16,26,11
dnd5e,accursed-defiler,neutral evil,Undead,,12,75,19,14,17,6,15,14,4
dnd5e,accursed-guardian-naga-a5e,,Monstrosity,,18,136,16,18,16,16,18,18,12
dnd5e,accursed-spirit-naga-a5e,,Monstrosity,,16,85,16,16,16,16,14,16,8
dnd5e,accurseddefiler-tob1-2023,Neutral Evil,Undead,,12,75,19,14,17,6,15,14,4
dnd5e,acid-ant,unaligned,Monstrosity,,13,13,8,13,12,1,7,3,0.25
dnd5e,acolyte,any alignment,Humanoid,any race,10,9,10,10,10,10,14,11,0.25
dnd5e,acolyte-a5e,,Humanoid,,10,11,10,10,12,10,14,10,0.25
dnd5e,acolyte_bf,,Humanoid,Any Lineage,10,15,10,10,10,10,18,10,0.25
dnd5e,adult-amethyst-dragon-a5e,,Dragon,,18,220,18,20,18,22,14,20,17
dnd5e,adult-black-dragon,chaotic evil,Dragon,,19,195,23,14,21,14,13,17,14
dnd5e,adult-black-dragon-a5e,,Dragon,,19,253,22,14,20,14,12,16,17
dnd5e,adult-black-dragon-lich-a5e,,Undead,,19,253,22,14,20,14,12,16,17
dnd5e,adult-blue-dragon,lawful evil,Dragon,,19,225,25,10,23,16,15,19,16
dnd5e,adult-blue-dragon-a5e,,Dragon,,19,275,24,10,22,16,14,18,19
dnd5e,adult-boreal-dragon,chaotic neutral,Dragon,,19,212,25,10,23,15,17,16,17
dnd5e,adult-brass-dragon,chaotic good,Dragon,,18,172,23,10,21,14,13,17,13
dnd5e,adult-brass-dragon-a5e,,Dragon,,18,161,22,10,20,18,14,16,16
dnd5e,adult-bronze-dragon,lawful good,Dragon,,19,212,25,10,23,16,15,19,15
dnd5e,adult-bronze-dragon-a5e,,Dragon,,18,287,24,10,22,16,14,18,18
dnd5e,adult-cave-dragon,neutral evil,Dragon,,18,243,26,12,24,12,12,20,16
dnd5e,adult-copper-dragon,chaotic good,Dragon,,18,184,23,12,21,18,15,17,14
dnd5e,adult-copper-dragon-a5e,,Dragon,,18,253,22,12,20,18,14,16,17
dnd5e,adult-earth-dragon-a5e,,Dragon,,19,287,22,14,22,22,14,20,18
dnd5e,adult-emerald-dragon-a5e,,Dragon,,18,241,22,22,18,22,12,18,17
dnd5e,adult-flame-dragon,chaotic evil,Dragon,,19,212,19,14,23,17,14,20,16
dnd5e,adult-gold-dragon,lawful good,Dragon,,19,256,27,14,25,16,15,24,17
dnd5e,adult-gold-dragon-a5e,,Dragon,,19,324,26,14,24,16,14,24,20
dnd5e,adult-green-dragon,lawful evil,Dragon,,19,207,23,12,21,18,15,17,15
dnd5e,adult-green-dragon-a5e,,Dragon,,18,287,20,12,20,18,14,16,18
dnd5e,adult-imperial-dragon,neutral,Dragon,,19,297,27,12,25,18,16,18,20
dnd5e,adult-light-dragon,neutral good,Dragon,,17,212,22,10,23,16,18,17,16
dnd5e,adult-mithral-dragon,neutral,Dragon,,18,184,27,18,21,20,21,20,14
dnd5e,adult-red-dragon,chaotic evil,Dragon,,19,256,27,10,25,16,13,21,17
dnd5e,adult-red-dragon-a5e,,Dragon,,19,310,26,10,24,16,14,20,20
dnd5e,adult-rime-worm,neutral,Elemental,,15,105,20,14,20,6,14,3,6
dnd5e,adult-river-dragon-a5e,,Dragon,,18,252,18,20,18,14,20,16,17
dnd5e,adult-sapphire-dragon-a5e,,Dragon,,19,304,22,22,18,22,20,16,19
dnd5e,adult-sea-dragon,neutral evil,Dragon,,19,225,25,10,23,17,15,19,16
dnd5e,adult-shadow-dragon-a5e,,Dragon,,18,212,22,14,22,14,14,23,19
dnd5e,adult-silver-dragon,lawful good,Dragon,,19,243,27,10,25,16,13,21,16
dnd5e,adult-silver-dragon-a5e,,Dragon,,19,283,24,14,24,16,12,20,19
dnd5e,adult-void-dragon,chaotic neutral,Dragon,,19,229,24,10,25,16,13,21,14
dnd5e,adult-wasteland-dragon,chaotic evil,Dragon,,18,225,26,10,21,14,13,16,17
dnd5e,adult-white-dragon,chaotic evil,Dragon,,18,200,22,10,22,8,12,12,13
dnd5e,adult-white-dragon-a5e,,Dragon,,18,250,22,12,22,8,14,14,16
dnd5e,adult-wind-dragon,chaotic neutral,Dragon,,19,237,24,19,22,16,15,18,17
dnd5e,adult_black_dragon_bf,,Dragon,,19,238,24,24,30,14,24,26,14
dnd5e,adult_blue_dragon_bf,,Dragon,,19,267,24,20,32,16,24,28,16
dnd5e,adult_brass_dragon_bf,,Dragon,,18,225,22,20,30,14,22,26,13
